name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
Palacio Silva de Balboa,-32.979074,-71.545952,0.0,{'open_now': False},"Av. Borgoño 12945, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",museo
Busto del General San Martín,-33.015029,-71.555467,0.0,,"San Martín 636, Viña del Mar","Vina del Mar, Chile",museo
Aristotolo,-33.049781,-71.559291,0.0,,"Agua Santa 5, 7, Viña del Mar","Vina del Mar, Chile",museo
Pescados Y Mariscos Delivery,-33.016201,-71.554184,5.0,,"3 Pte. 563, Viña del Mar","Vina del Mar, Chile",pescados
PECADO DEL INKA,-33.024763,-71.560158,4.7,{'open_now': True},"Ecuador 280, Viña del Mar","Vina del Mar, Chile",pescados
El Capitan,-33.024498,-71.545194,4.7,{'open_now': False},"La Marina 1130, Viña del Mar","Vina del Mar, Chile",pescados
Pecado Del Inka,-33.012071,-71.543954,4.7,{'open_now': True},"12 Nte. 1114, Viña del Mar","Vina del Mar, Chile",pescados
"Pescadería y Almuerzos ""San Pedro""",-33.010197,-71.506568,4.6,{'open_now': False},"Manuel Guerrero 51, Viña del Mar","Vina del Mar, Chile",pescados
Cuzco Sabores,-33.018093,-71.558109,4.6,{'open_now': True},"6 Pte. 338, Viña del Mar","Vina del Mar, Chile",pescados
Ají del Mar,-33.019808,-71.557805,4.5,{'open_now': True},"2 norte, 5 - 1/2 Pte. 130, Viña del Mar","Vina del Mar, Chile",pescados
La Ostra,-32.971003,-71.544134,4.5,{'open_now': False},"Central 150, Renaca, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Pescado Del Ika,-33.012068,-71.543974,4.5,{'open_now': True},"12 Nte. 1112, Viña del Mar","Vina del Mar, Chile",pescados
Sazón Nazca Viña del Mar,-33.024262,-71.549428,4.4,{'open_now': True},"Arlegui 863, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Divino Pecado,-33.019431,-71.559049,4.4,{'open_now': False},"San Martín 180 Esquina 3 norte Viña del Mar, Valparaíso","Vina del Mar, Chile",pescados
Donde Willy Restaurant,-33.016447,-71.554898,4.3,{'open_now': True},"Luis Borgoño 17, Viña del Mar","Vina del Mar, Chile",pescados
Tierra de Fuego,-33.014236,-71.55604,4.3,{'open_now': True},"Playa Acapulco, 8 Nte. Nº 65, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Y Cevicheria Don Augusto,-33.024823,-71.544995,4.2,{'open_now': False},"Arlegui 1175, Local 36, Viña del Mar","Vina del Mar, Chile",pescados
HeyFish! Restaurante,-33.010646,-71.546324,4.2,{'open_now': True},"13 Nte. 902, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Siete Mares,-32.955723,-71.547043,4.1,{'open_now': False},"Av. Borgoño 17150, Viña del Mar","Vina del Mar, Chile",pescados
Restaurant D'lamari,-32.955437,-71.547027,4.1,{'open_now': False},"Av. Borgoño 17150, Viña del Mar","Vina del Mar, Chile",pescados
Cocineria La Consentida,-33.024823,-71.544995,3.8,{'open_now': False},"Arlegui 1175, Viña del Mar","Vina del Mar, Chile",pescados
Restaurante Los Pomairinos,-32.969341,-71.544959,2.4,{'open_now': False},"Av. Borgoño 14890, Viña del Mar","Vina del Mar, Chile",pescados
Mi Caleta,-33.012191,-71.540793,0.0,{'open_now': False},"Quillota 1130, Valparaíso, Viña del Mar 2531015","Vina del Mar, Chile",pescados
Don Emelio Restaurante,-33.016663,-71.555043,4.8,{'open_now': False},"6 Nte. 325, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",restaurant
Sativo Wok & Bowls,-33.016601,-71.554607,4.8,{'open_now': True},"6 Nte. 373, Viña del Mar","Vina del Mar, Chile",restaurant
Pecado Del Inka,-33.012071,-71.543954,4.7,{'open_now': True},"12 Nte. 1114, Viña del Mar","Vina del Mar, Chile",restaurant
Don Vito e Zanoni,-33.014607,-71.554116,4.7,{'open_now': True},"8 Nte. 375, Viña del Mar","Vina del Mar, Chile",restaurant
Otra Cozza Viña del Mar,-33.014632,-71.55394,4.6,{'open_now': True},"8 Nte. 393, Viña del Mar","Vina del Mar, Chile",restaurant
Cuzco Sabores,-33.018093,-71.558109,4.6,{'open_now': True},"6 Pte. 338, Viña del Mar","Vina del Mar, Chile",restaurant
Ilo Mapu,-33.016632,-71.556406,4.6,{'open_now': False},"6 Nte. 228, Viña del Mar","Vina del Mar, Chile",restaurant
El Austriaco,-33.019401,-71.558429,4.5,{'open_now': False},"3 Nte. 105, Viña del Mar","Vina del Mar, Chile",restaurant
Milamores,-33.020708,-71.55784,4.5,{'open_now': False},"2 Nte. 162, Viña del Mar","Vina del Mar, Chile",restaurant
Ristorante San Marco,-33.015612,-71.556473,4.5,{'open_now': False},"San Martín 597, Viña del Mar","Vina del Mar, Chile",restaurant
La Flor de Chile,-33.01504,-71.551219,4.4,{'open_now': True},"8 norte 601, esquina, 1 Pte, Viña del Mar","Vina del Mar, Chile",restaurant
La Cabaña Restaurante,-33.009503,-71.547383,4.4,{'open_now': True},"1 Oriente, 14 Nte. 1274, Viña del Mar","Vina del Mar, Chile",restaurant
Restaurante Divino Pecado,-33.019431,-71.559049,4.4,{'open_now': False},"San Martín 180 Esquina 3 norte Viña del Mar, Valparaíso","Vina del Mar, Chile",restaurant
Nogaró,-33.01895,-71.561612,4.4,{'open_now': True},"Av. Perú 100, Viña del Mar","Vina del Mar, Chile",restaurant
Castillo del mar,-33.02062,-71.565306,4.4,{'open_now': False},"Av. Marina 50, Viña del Mar","Vina del Mar, Chile",restaurant
Tierra de Fuego,-33.014236,-71.55604,4.3,{'open_now': True},"Playa Acapulco, 8 Nte. Nº 65, Viña del Mar","Vina del Mar, Chile",restaurant
La Ciboulette,-33.021145,-71.55722,4.3,{'open_now': False},"5 Pte. 80, Valparaíso, Viña del Mar 2520000","Vina del Mar, Chile",restaurant
Donde Willy Restaurant,-33.016447,-71.554898,4.3,{'open_now': True},"Luis Borgoño 17, Viña del Mar","Vina del Mar, Chile",restaurant
Chez Gerald,-33.016403,-71.558449,4.2,{'open_now': False},"Perú 496, Valparaíso, Viña del Mar","Vina del Mar, Chile",restaurant
La Cuisine,-33.016714,-71.554743,4.1,{'open_now': True},"6 Nte. 357, Viña del Mar","Vina del Mar, Chile",restaurant
Hotel Macasi,-33.025972,-71.563016,5.0,,"Agua Santa 80, Valparaíso, Viña del Mar 2580316","Vina del Mar, Chile",hotel
Esencia Hotel Boutique,-33.017626,-71.553672,5.0,,"Cinco Nte. 449, Casa 3, Valparaíso, Viña del Mar 2520165","Vina del Mar, Chile",hotel
The New York Hotel,-33.029204,-71.564557,4.7,{'open_now': True},"Tongoy 57, C1, Viña del Mar","Vina del Mar, Chile",hotel
Sheraton Miramar Hotel & Convention Center,-33.021128,-71.568046,4.6,,"Av. Marina 15, Viña del Mar","Vina del Mar, Chile",hotel
Hotel Torreviña,-33.027635,-71.558393,4.6,,"Traslaviña 421, Viña del Mar","Vina del Mar, Chile",hotel
Dei Templi Apart Hotel,-32.961852,-71.544845,4.6,{'open_now': True},"Av Edmundo Eluchans 1475, Viña del Mar","Vina del Mar, Chile",hotel
180 Hotel Boutique,-33.023158,-71.561692,4.6,,"Vista Hermosa 180, Valparaíso, Viña del Mar","Vina del Mar, Chile",hotel
